"#","source","filename","r2_key","r2_public_url","status","size_kb"
"72","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img1","1780684715194_kksh8g.JPG","nyvarastore/products/1780684715194_kksh8g.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684715194_kksh8g.JPG","copied","2083.8"
"73","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img2","1780684720217_3vv62.JPG","nyvarastore/products/1780684720217_3vv62.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684720217_3vv62.JPG","copied","1650.5"
"74","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img1","1780684793563_y0vfl85.JPG","nyvarastore/products/1780684793563_y0vfl85.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684793563_y0vfl85.JPG","copied","1991.5"
"75","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img2","1780684799065_3vcjf.JPG","nyvarastore/products/1780684799065_3vcjf.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684799065_3vcjf.JPG","copied","2051.7"
"76","colors/f962641f-d6f6-4ecb-8b42-98d23734c271/ img2","1780856464674_41usod.webp","nyvarastore/products/1780856464674_41usod.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780856464674_41usod.webp","copied","23.2"
"77","colors/f962641f-d6f6-4ecb-8b42-98d23734c271/ img2","1780856489158_24m04c.webp","nyvarastore/products/1780856489158_24m04c.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780856489158_24m04c.webp","copied","21.5"
"78","colors/f962641f-d6f6-4ecb-8b42-98d23734c271/ img2","1780856508924_utpjxd.webp","nyvarastore/products/1780856508924_utpjxd.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780856508924_utpjxd.webp","copied","30.1"
"79","colors/6e284166-2623-4300-a574-f49a99dde3b4/Argent img2","1780454834599_ryz7gw.jpg","nyvarastore/products/1780454834599_ryz7gw.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454834599_ryz7gw.jpg","copied","51.4"
"80","colors/6e284166-2623-4300-a574-f49a99dde3b4/Gold img1","1780454876996_u0ogeq.jpg","nyvarastore/products/1780454876996_u0ogeq.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454876996_u0ogeq.jpg","copied","59.0"
"81","colors/6e284166-2623-4300-a574-f49a99dde3b4/Gold img2","1780454878990_hfg3d6.jpg","nyvarastore/products/1780454878990_hfg3d6.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454878990_hfg3d6.jpg","copied","56.1"
